# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 7.000000e-01
# Aref        : 1.820000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
117           	1.574893e-03	5.465064e-02	1.776406e-03	2.463096e-03	-6.866897e-04
118           	1.581049e-03	5.465334e-02	1.781641e-03	2.471870e-03	-6.902284e-04
119           	1.587084e-03	5.465009e-02	1.787589e-03	2.480878e-03	-6.932894e-04
120           	1.593326e-03	5.464714e-02	1.793142e-03	2.489897e-03	-6.967548e-04
121           	1.599228e-03	5.464802e-02	1.798866e-03	2.498661e-03	-6.997953e-04
122           	1.605972e-03	5.464684e-02	1.805041e-03	2.508492e-03	-7.034517e-04
123           	1.614743e-03	5.464132e-02	1.812091e-03	2.520789e-03	-7.086977e-04
124           	1.619494e-03	5.464300e-02	1.817303e-03	2.528145e-03	-7.108420e-04
125           	1.627629e-03	5.463907e-02	1.824548e-03	2.539903e-03	-7.153547e-04
126           	1.633730e-03	5.463938e-02	1.831464e-03	2.549462e-03	-7.179981e-04
127           	1.643279e-03	5.463313e-02	1.838159e-03	2.562359e-03	-7.241994e-04
128           	1.649037e-03	5.463549e-02	1.845139e-03	2.571607e-03	-7.264677e-04
129           	1.656730e-03	5.462864e-02	1.851718e-03	2.582589e-03	-7.308709e-04
130           	1.662641e-03	5.462776e-02	1.855946e-03	2.590614e-03	-7.346684e-04
131           	1.664616e-03	5.462700e-02	1.858322e-03	2.593777e-03	-7.354551e-04
132           	1.665042e-03	5.462230e-02	1.857685e-03	2.593884e-03	-7.361993e-04
133           	1.662967e-03	5.462542e-02	1.854999e-03	2.590467e-03	-7.354682e-04
134           	1.658053e-03	5.462342e-02	1.850065e-03	2.583085e-03	-7.330202e-04
135           	1.650854e-03	5.462190e-02	1.841860e-03	2.571784e-03	-7.299238e-04
136           	1.640494e-03	5.463003e-02	1.831710e-03	2.556349e-03	-7.246384e-04
137           	1.632409e-03	5.463068e-02	1.822946e-03	2.543883e-03	-7.209361e-04
138           	1.623455e-03	5.463926e-02	1.813980e-03	2.530445e-03	-7.164645e-04
139           	1.616457e-03	5.464302e-02	1.806342e-03	2.519628e-03	-7.132861e-04
140           	1.609513e-03	5.465197e-02	1.800591e-03	2.509809e-03	-7.092175e-04
141           	1.604772e-03	5.465308e-02	1.796128e-03	2.502836e-03	-7.067081e-04
142           	1.597142e-03	5.466037e-02	1.788868e-03	2.491576e-03	-7.027077e-04
143           	1.592502e-03	5.466614e-02	1.784020e-03	2.484512e-03	-7.004916e-04
144           	1.585013e-03	5.466701e-02	1.777803e-03	2.473915e-03	-6.961117e-04
145           	1.578348e-03	5.467036e-02	1.770719e-03	2.463707e-03	-6.929887e-04
146           	1.570931e-03	5.467776e-02	1.764522e-03	2.453192e-03	-6.886701e-04
147           	1.565327e-03	5.467426e-02	1.758878e-03	2.444766e-03	-6.858875e-04
148           	1.557877e-03	5.467979e-02	1.751983e-03	2.433868e-03	-6.818853e-04
149           	1.550752e-03	5.468007e-02	1.746713e-03	2.424109e-03	-6.773954e-04
150           	1.545983e-03	5.468462e-02	1.741454e-03	2.416710e-03	-6.752557e-04
151           	1.539806e-03	5.468348e-02	1.735815e-03	2.407714e-03	-6.718987e-04
152           	1.533635e-03	5.468932e-02	1.730631e-03	2.398950e-03	-6.683194e-04
153           	1.528905e-03	5.468907e-02	1.725904e-03	2.391856e-03	-6.659529e-04
154           	1.522904e-03	5.469386e-02	1.720632e-03	2.383220e-03	-6.625886e-04
155           	1.518869e-03	5.469160e-02	1.716606e-03	2.377172e-03	-6.605662e-04
156           	1.514402e-03	5.469811e-02	1.713305e-03	2.371054e-03	-6.577498e-04
157           	1.511219e-03	5.469488e-02	1.710109e-03	2.366273e-03	-6.561642e-04
158           	1.509251e-03	5.470157e-02	1.708582e-03	2.363542e-03	-6.549593e-04
159           	1.507570e-03	5.469677e-02	1.707243e-03	2.361191e-03	-6.539481e-04
160           	1.505583e-03	5.470169e-02	1.705260e-03	2.358213e-03	-6.529530e-04
161           	1.504103e-03	5.470003e-02	1.705343e-03	2.356775e-03	-6.514319e-04
162           	1.503658e-03	5.469953e-02	1.704579e-03	2.355948e-03	-6.513691e-04
163           	1.504409e-03	5.469983e-02	1.704967e-03	2.356892e-03	-6.519255e-04
164           	1.503870e-03	5.470029e-02	1.705370e-03	2.356555e-03	-6.511845e-04
165           	1.505384e-03	5.469469e-02	1.706567e-03	2.358668e-03	-6.521007e-04
166           	1.505166e-03	5.469624e-02	1.706627e-03	2.358480e-03	-6.518529e-04
167           	1.506005e-03	5.469268e-02	1.707314e-03	2.359662e-03	-6.523480e-04
168           	1.507325e-03	5.469319e-02	1.708903e-03	2.361777e-03	-6.528734e-04
169           	1.507854e-03	5.469058e-02	1.709475e-03	2.362591e-03	-6.531166e-04
170           	1.509722e-03	5.469321e-02	1.711197e-03	2.365321e-03	-6.541237e-04
171           	1.510839e-03	5.468762e-02	1.712565e-03	2.367122e-03	-6.545567e-04
172           	1.511476e-03	5.468866e-02	1.712702e-03	2.367827e-03	-6.551252e-04
173           	1.512309e-03	5.468630e-02	1.713827e-03	2.369222e-03	-6.553956e-04
174           	1.512961e-03	5.468699e-02	1.714484e-03	2.370203e-03	-6.557191e-04
175           	1.515054e-03	5.468440e-02	1.715420e-03	2.372764e-03	-6.573447e-04
176           	1.514405e-03	5.468817e-02	1.716309e-03	2.372559e-03	-6.562503e-04
177           	1.516088e-03	5.468147e-02	1.717328e-03	2.374752e-03	-6.574246e-04
178           	1.516689e-03	5.468868e-02	1.717454e-03	2.375416e-03	-6.579618e-04
179           	1.516942e-03	5.468418e-02	1.717592e-03	2.375738e-03	-6.581457e-04
180           	1.516620e-03	5.468427e-02	1.717666e-03	2.375454e-03	-6.577873e-04
181           	1.517949e-03	5.468710e-02	1.718356e-03	2.377127e-03	-6.587711e-04
182           	1.516951e-03	5.468420e-02	1.718490e-03	2.376196e-03	-6.577053e-04
183           	1.520288e-03	5.468563e-02	1.719896e-03	2.380235e-03	-6.603397e-04
184           	1.517974e-03	5.468553e-02	1.718905e-03	2.377426e-03	-6.585218e-04
185           	1.518698e-03	5.468576e-02	1.719095e-03	2.378245e-03	-6.591501e-04
186           	1.518186e-03	5.468453e-02	1.719167e-03	2.377769e-03	-6.586024e-04
187           	1.519310e-03	5.468300e-02	1.719151e-03	2.378886e-03	-6.597344e-04
188           	1.519743e-03	5.468571e-02	1.720216e-03	2.379851e-03	-6.596353e-04
189           	1.520785e-03	5.468235e-02	1.721913e-03	2.381742e-03	-6.598287e-04
190           	1.522616e-03	5.468470e-02	1.722344e-03	2.383788e-03	-6.614439e-04
191           	1.523293e-03	5.468498e-02	1.723904e-03	2.385245e-03	-6.613409e-04
192           	1.524806e-03	5.468291e-02	1.725210e-03	2.387411e-03	-6.622010e-04
193           	1.527790e-03	5.468218e-02	1.727234e-03	2.391407e-03	-6.641731e-04
194           	1.528368e-03	5.468563e-02	1.728931e-03	2.392834e-03	-6.639031e-04
195           	1.532301e-03	5.467749e-02	1.731590e-03	2.398096e-03	-6.665065e-04
196           	1.532144e-03	5.468371e-02	1.732798e-03	2.398543e-03	-6.657454e-04
197           	1.534454e-03	5.467734e-02	1.734450e-03	2.401679e-03	-6.672289e-04
198           	1.535896e-03	5.468196e-02	1.736290e-03	2.404041e-03	-6.677513e-04
199           	1.538348e-03	5.467547e-02	1.737823e-03	2.407259e-03	-6.694359e-04
200           	1.539805e-03	5.467684e-02	1.739194e-03	2.409402e-03	-6.702078e-04
201           	1.541885e-03	5.467528e-02	1.741441e-03	2.412606e-03	-6.711646e-04
202           	1.543551e-03	5.467367e-02	1.742350e-03	2.414726e-03	-6.723755e-04
203           	1.544241e-03	5.467536e-02	1.743697e-03	2.416089e-03	-6.723921e-04
204           	1.546458e-03	5.467197e-02	1.745123e-03	2.419019e-03	-6.738962e-04
205           	1.546077e-03	5.466995e-02	1.745496e-03	2.418824e-03	-6.733288e-04
206           	1.547530e-03	5.467557e-02	1.746406e-03	2.420733e-03	-6.743276e-04
207           	1.548544e-03	5.466749e-02	1.746974e-03	2.422031e-03	-6.750564e-04
208           	1.548375e-03	5.467333e-02	1.746623e-03	2.421686e-03	-6.750635e-04
209           	1.547613e-03	5.467094e-02	1.746670e-03	2.420948e-03	-6.742780e-04
210           	1.548864e-03	5.467391e-02	1.746720e-03	2.422224e-03	-6.755041e-04
211           	1.547882e-03	5.467142e-02	1.745929e-03	2.420846e-03	-6.749177e-04
212           	1.546808e-03	5.467518e-02	1.745175e-03	2.419395e-03	-6.742205e-04
213           	1.547931e-03	5.467320e-02	1.745814e-03	2.420838e-03	-6.750239e-04
214           	1.547187e-03	5.467688e-02	1.745168e-03	2.419771e-03	-6.746026e-04
215           	1.548873e-03	5.467664e-02	1.745923e-03	2.421835e-03	-6.759119e-04
216           	1.547430e-03	5.467871e-02	1.746406e-03	2.420633e-03	-6.742271e-04
217           	1.549881e-03	5.467739e-02	1.747018e-03	2.423390e-03	-6.763724e-04
218           	1.548989e-03	5.468003e-02	1.747299e-03	2.422639e-03	-6.753396e-04
219           	1.550651e-03	5.467658e-02	1.748296e-03	2.424799e-03	-6.765030e-04
220           	1.550330e-03	5.468046e-02	1.747742e-03	2.424201e-03	-6.764590e-04
221           	1.550842e-03	5.467907e-02	1.748963e-03	2.425324e-03	-6.763608e-04
222           	1.551381e-03	5.467637e-02	1.749357e-03	2.426060e-03	-6.767031e-04
223           	1.553025e-03	5.467814e-02	1.749606e-03	2.427828e-03	-6.782225e-04
224           	1.551825e-03	5.468005e-02	1.749915e-03	2.426783e-03	-6.768678e-04
225           	1.552268e-03	5.467486e-02	1.749757e-03	2.427146e-03	-6.773899e-04
226           	1.551841e-03	5.468239e-02	1.749708e-03	2.426695e-03	-6.769873e-04
227           	1.551904e-03	5.467801e-02	1.749489e-03	2.426649e-03	-6.771601e-04
228           	1.552801e-03	5.467995e-02	1.750169e-03	2.427886e-03	-6.777163e-04
229           	1.552413e-03	5.467938e-02	1.749949e-03	2.427387e-03	-6.774387e-04
230           	1.552440e-03	5.468061e-02	1.749779e-03	2.427329e-03	-6.775501e-04
231           	1.552873e-03	5.468047e-02	1.750190e-03	2.427968e-03	-6.777784e-04
232           	1.551213e-03	5.467766e-02	1.748954e-03	2.425690e-03	-6.767357e-04
233           	1.552546e-03	5.468363e-02	1.749834e-03	2.427463e-03	-6.776289e-04
234           	1.551702e-03	5.468253e-02	1.749498e-03	2.426451e-03	-6.769535e-04
235           	1.553112e-03	5.467872e-02	1.749611e-03	2.427918e-03	-6.783069e-04
236           	1.551439e-03	5.468459e-02	1.749381e-03	2.426129e-03	-6.767481e-04
237           	1.551835e-03	5.467982e-02	1.749175e-03	2.426422e-03	-6.772473e-04
238           	1.551593e-03	5.468232e-02	1.748999e-03	2.426093e-03	-6.770935e-04
239           	1.551586e-03	5.468176e-02	1.749010e-03	2.426091e-03	-6.770807e-04
240           	1.551493e-03	5.468084e-02	1.748957e-03	2.425972e-03	-6.770144e-04
241           	1.551385e-03	5.468276e-02	1.748942e-03	2.425856e-03	-6.769145e-04
242           	1.550742e-03	5.468217e-02	1.748295e-03	2.424890e-03	-6.765948e-04
243           	1.552087e-03	5.468238e-02	1.748734e-03	2.426454e-03	-6.777202e-04
244           	1.550393e-03	5.468299e-02	1.747533e-03	2.424160e-03	-6.766270e-04
245           	1.550438e-03	5.468177e-02	1.747833e-03	2.424354e-03	-6.765213e-04
246           	1.549724e-03	5.468409e-02	1.747390e-03	2.423419e-03	-6.760297e-04
247           	1.549693e-03	5.468208e-02	1.746600e-03	2.422993e-03	-6.763926e-04
248           	1.549257e-03	5.468841e-02	1.746775e-03	2.422644e-03	-6.758692e-04
249           	1.548788e-03	5.468137e-02	1.746639e-03	2.422108e-03	-6.754684e-04
250           	1.548359e-03	5.468844e-02	1.745252e-03	2.420985e-03	-6.757328e-04
251           	1.547960e-03	5.468582e-02	1.745622e-03	2.420771e-03	-6.751486e-04
252           	1.547258e-03	5.468571e-02	1.745145e-03	2.419831e-03	-6.746860e-04
